"sura_id","aya_id","count"
7,165,"68"
22,20,"68"
18,104,"68"
5,101,"68"
57,3,"68"
21,42,"68"
3,90,"68"
27,49,"68"
17,75,"68"
43,53,"68"
37,11,"68"
19,83,"68"
18,44,"68"
10,64,"68"
16,9,"68"
9,51,"68"
19,77,"68"
91,8,"68"
25,70,"68"
4,148,"68"
79,25,"68"
75,17,"68"
39,36,"68"
38,34,"68"
57,20,"68"
10,89,"68"
4,172,"68"
9,83,"68"
7,69,"68"
4,104,"68"
3,123,"68"
3,125,"68"
2,243,"68"
2,194,"68"
10,7,"68"
21,35,"68"
47,17,"68"
84,17,"68"
59,2,"68"
2,108,"68"
4,108,"68"
33,35,"68"
17,83,"68"
75,14,"68"
12,25,"68"
5,31,"68"
7,188,"68"
7,131,"68"
5,29,"68"
11,99,"68"
33,52,"68"
2,190,"68"
38,16,"68"
5,66,"68"
52,13,"68"
3,60,"68"
42,7,"68"
3,138,"68"
47,18,"68"
3,73,"68"
19,30,"68"
11,92,"68"
6,119,"68"
2,154,"68"
23,106,"68"
14,9,"68"
56,43,"68"
107,2,"68"
32,18,"68"
43,44,"68"
17,76,"68"
11,90,"68"
17,46,"68"
2,230,"68"
53,14,"68"
17,5,"68"
3,176,"68"
81,17,"68"
71,7,"68"
52,2,"68"
27,19,"68"
18,58,"68"
93,4,"68"
38,32,"68"
11,44,"68"
36,51,"68"
47,4,"68"
21,101,"68"
27,7,"68"
34,33,"68"
99,5,"68"
56,4,"68"
5,71,"68"
16,125,"68"
3,140,"68"
5,22,"68"
44,29,"68"
28,11,"68"
36,38,"68"
4,58,"68"
46,24,"68"
9,47,"68"
65,4,"68"
22,15,"68"
37,48,"68"
102,1,"68"
2,272,"68"
27,90,"68"
80,20,"68"
29,46,"68"
43,32,"68"
36,69,"68"
2,116,"68"
81,16,"68"
38,26,"68"
11,6,"68"
17,93,"68"
18,66,"68"
47,11,"68"
54,19,"68"
11,87,"68"
93,11,"68"
19,73,"68"
22,30,"68"
9,111,"68"
7,41,"68"
51,4,"68"
21,71,"68"
28,15,"68"
23,67,"68"
41,12,"68"
12,4,"68"
68,3,"68"
3,46,"68"
3,128,"68"
42,24,"68"
43,59,"68"
18,108,"68"
15,90,"68"
33,51,"68"
19,27,"68"
9,123,"68"
6,62,"68"
26,214,"68"
11,106,"68"
3,54,"68"
104,2,"68"
5,30,"68"
46,29,"68"
6,20,"68"
12,33,"68"
22,24,"68"
4,28,"68"
9,112,"68"
3,81,"68"
3,77,"68"
8,35,"68"
95,5,"68"
7,168,"68"
53,4,"68"
2,279,"68"
4,32,"68"
12,70,"68"
56,79,"68"
2,214,"68"
34,28,"68"
19,28,"68"
2,130,"68"
3,52,"68"
21,98,"68"
39,42,"68"
28,12,"68"
45,24,"68"
53,57,"68"
11,18,"68"
73,4,"68"
84,16,"68"
93,6,"68"
92,5,"68"
23,17,"68"
104,3,"68"
90,1,"68"
87,6,"68"
17,72,"68"
32,24,"68"
4,113,"68"
10,71,"68"
18,73,"68"
4,25,"68"
109,2,"68"
4,69,"68"
37,10,"68"
9,109,"68"
11,54,"68"
3,44,"68"
37,2,"68"
38,23,"68"
4,86,"68"
12,51,"68"
16,5,"68"
7,38,"68"
87,7,"68"
8,72,"68"
15,91,"68"
47,6,"68"
5,107,"68"
4,114,"68"
10,3,"68"
4,90,"68"
39,23,"68"
6,73,"68"
2,117,"68"
2,118,"68"
40,1,"68"
8,37,"68"
28,4,"68"
5,11,"68"
8,15,"68"
28,18,"68"
41,35,"68"
22,23,"68"
56,3,"68"
33,50,"68"
19,39,"68"
99,3,"68"
87,18,"68"
23,101,"68"
4,98,"68"
47,19,"68"
49,17,"68"
54,13,"68"
92,8,"68"
2,84,"68"
94,3,"68"
16,7,"68"
83,18,"68"
18,60,"68"
33,13,"68"
3,36,"68"
38,39,"68"
7,18,"68"
28,88,"68"
9,92,"68"
18,74,"68"
19,74,"68"
7,163,"68"
4,159,"68"
19,59,"68"
43,61,"68"
7,200,"68"
28,9,"68"
42,15,"68"
37,55,"68"
16,112,"68"
41,53,"68"
77,4,"68"
7,179,"68"
7,149,"68"
38,15,"68"
10,92,"68"
93,1,"68"
50,35,"68"
21,79,"68"
10,94,"68"
29,60,"68"
11,43,"68"
5,34,"68"
11,29,"68"
11,119,"68"
6,109,"68"
9,17,"68"
8,43,"68"
39,75,"68"
12,17,"68"
27,62,"68"
66,6,"68"
47,25,"68"
51,2,"68"
36,26,"68"
4,41,"68"
2,250,"68"
23,50,"68"
14,15,"68"
23,20,"68"
29,4,"68"
12,84,"68"
2,182,"68"
17,62,"68"
6,162,"68"
15,85,"68"
12,65,"68"
43,4,"68"
28,17,"68"
85,4,"68"
3,196,"68"
24,36,"68"
74,56,"68"
