quote_id,count,,,
q.36_39_3_3-5,31,,,
q.36_40_10_10-8,31,,,
q.36_40_12_12-12,31,,,
q.36_40_78_78-31,31,,,
q.36_4_47_47-11,31,,,
q.36_4_6_6-19,31,,,
q.36_4_83_83-9,31,,,
q.36_5_13_13-15,31,,,
q.36_53_12_12-2,31,,,
q.36_5_53_53-8,31,,,
q.36_5_77_77-5,31,,,
q.36_6_2_2-19,31,,,
q.36_62_5_5-7,31,,,
q.36_67_12_12-4,31,,,
q.36_79_26_26-4,31,,,
q.36_8_17_17-12,31,,,
q.36_9_107_107-8,31,,,
q.36_9_119_119-10,31,,,
q.36_10_5_5-11,30,,,
q.36_14_4_4-9,30,,,
q.36_16_109_109-4,30,,,
q.36_18_110_110-15,30,,,
q.36_18_63_63-12,30,,,
q.36_19_59_59-6,30,,,
q.36_20_11_12-10,30,,,
q.36_20_48_48-5,30,,,
q.36_2_102_102-30,30,,,
q.36_2_110_110-8,30,,,
q.36_2_138_138-6,30,,,
q.36_2_157_157-8,30,,,
q.36_21_87_88-18,30,,,
q.36_2_224_224-4,30,,,
q.36_2_249_249-29,30,,,
q.36_2_254_254-14,30,,,
q.36_22_5_5-23,30,,,
q.36_24_20_20-6,30,,,
q.36_24_5_5-7,30,,,
q.36_25_75_75-7,30,,,
q.36_2_73_73-12,30,,,
q.36_30_15_15-4,30,,,
q.36_30_51_51-6,30,,,
q.36_3_103_103-23,30,,,
q.36_31_33_33-21,30,,,
q.36_3_22_22-5,30,,,
q.36_33_40_40-19,30,,,
q.36_33_52_52-6,30,,,
q.36_33_56_56-26,30,,,
q.36_38_78_78-5,30,,,
q.36_39_45_45-8,30,,,
q.36_4_36_36-23,30,,,
q.36_4_83_83-20,30,,,
q.36_4_96_96-10,30,,,
q.36_51_18_18-9,30,,,
q.36_55_9_9-4,30,,,
q.36_5_69_69-16,30,,,
q.36_6_115_115-6,30,,,
q.36_62_5_5-6,30,,,
q.36_65_1_1-7,30,,,
q.36_6_61_61-3,30,,,
q.36_7_33_34-17,30,,,
q.36_9_111_111-18,30,,,
q.36_9_40_40-14,30,,,
q.36_9_93_93-10,30,,,
q.36_10_94_94-6,29,,,
q.36_11_121_122-11,29,,,
q.36_11_44_44-19,29,,,
q.36_12_100_100-18,29,,,
q.36_12_25_25-10,29,,,
q.36_12_3_3-7,29,,,
q.36_14_43_43-9,29,,,
q.36_14_4_4-22,29,,,
q.36_1_5_5-11,29,,,
q.36_17_1_1-10,29,,,
q.36_17_70_70-4,29,,,
q.36_17_89_89-6,29,,,
q.36_22_27_27-5,29,,,
q.36_2_233_233-11,29,,,
q.36_2_262_262-14,29,,,
q.36_25_63_63-7,29,,,
q.36_2_59_59-18,29,,,
q.36_2_74_74-24,29,,,
q.36_27_78_81-15,29,,,
q.36_28_72_73-9,29,,,
q.36_30_57_57-5,29,,,
q.36_3_148_148-9,29,,,
q.36_3_151_151-12,29,,,
q.36_3_17_17-9,29,,,
q.36_3_184_184-9,29,,,
q.36_3_189_189-5,29,,,
q.36_32_11_11-9,29,,,
q.36_33_11_11-6,29,,,
q.36_33_33_33-20,29,,,
q.36_35_15_15-7,29,,,
q.36_37_158_158-7,29,,,
q.36_38_43_43-6,29,,,
q.36_39_22_22-14,29,,,
q.36_40_39_39-2,29,,,
q.36_4_11_11-35,29,,,
q.36_4_21_21-10,29,,,
q.36_4_33_33-12,29,,,
q.36_4_5_5-8,29,,,
q.36_51_21_21-8,29,,,
q.36_51_49_49-4,29,,,
q.36_56_62_62-4,29,,,
q.36_60_13_13-7,29,,,
q.36_6_129_129-9,29,,,
q.36_6_49_49-6,29,,,
q.36_6_61_61-5,29,,,
q.36_69_7_7-7,29,,,
q.36_7_31_31-9,29,,,
q.36_7_92_92-4,29,,,
q.36_8_65_66-3,29,,,
q.36_90_9_9-3,29,,,
q.36_9_4_4-10,29,,,
q.36_10_7_7-7,28,,,
q.36_11_105_105-15,28,,,
q.36_11_112_112-11,28,,,
q.36_12_33_33-6,28,,,
q.36_15_31_33-14,28,,,
q.36_15_79_79-11,28,,,
q.36_16_90_90-19,28,,,
q.36_17_37_37-8,28,,,
q.36_18_18_18-16,28,,,
q.36_20_121_121-10,28,,,
q.36_22_4_4-10,28,,,
q.36_2_252_252-6,28,,,
q.36_25_3_3-13,28,,,
q.36_26_77_77-4,28,,,
q.36_27_16_16-10,28,,,
q.36_29_63_63-13,28,,,
q.36_29_64_64-9,28,,,
q.36_30_29_29-9,28,,,
q.36_3_101_101-9,28,,,
q.36_32_16_17-22,28,,,
q.36_32_7_7-2,28,,,
q.36_34_2_2-12,28,,,
q.36_35_18_18-13,28,,,
q.36_38_35_35-17,28,,,
q.36_4_78_78-8,28,,,
q.36_4_79_79-18,28,,,
q.36_48_20_20-11,28,,,
q.36_51_56_56-22,28,,,
q.36_52_8_8-6,28,,,
q.36_53_17_17-4,28,,,
q.36_62_2_2-5,28,,,
q.36_7_7_7-4,28,,,
q.36_8_47_47-12,28,,,
q.36_9_41_41-12,28,,,
q.36_10_44_44-3,27,,,
q.36_10_74_74-12,27,,,
q.36_11_14_14-11,27,,,
q.36_11_22_22-3,27,,,
q.36_11_41_41-8,27,,,
q.36_12_32_32-4,27,,,
q.36_12_49_49-9,27,,,
q.36_13_1_1-18,27,,,
q.36_13_28_28-20,27,,,
q.36_13_39_39-12,27,,,
q.36_16_102_102-14,27,,,
q.36_19_40_40-5,27,,,
q.36_20_101_101-4,27,,,
q.36_20_104_104-15,27,,,
q.36_20_122_122-9,27,,,
q.36_20_64_64-7,27,,,
q.36_20_90_90-14,27,,,
q.36_2_119_119-14,27,,,
q.36_22_14_14-3,27,,,
q.36_2_219_220-14,27,,,
q.36_24_55_55-9,27,,,
q.36_31_3_3-4,27,,,
q.36_31_34_34-19,27,,,
q.36_3_179_179-17,27,,,
q.36_3_29_29-10,27,,,
q.36_3_29_29-11,27,,,
q.36_33_55_55-11,27,,,
q.36_33_55_55-15,27,,,
q.36_33_56_56-60,27,,,
q.36_33_72_72-14,27,,,
q.36_3_63_63-3,27,,,
q.36_38_75_75-10,27,,,
q.36_39_22_22-19,27,,,
q.36_39_53_53-31,27,,,
q.36_39_9_9-14,27,,,
q.36_40_59_59-6,27,,,
q.36_42_9_9-7,27,,,
q.36_4_58_58-7,27,,,
q.36_4_80_82-26,27,,,
q.36_59_20_20-11,27,,,
q.36_59_23_23-4,27,,,
q.36_59_9_9-13,27,,,
q.36_6_24_24-5,27,,,
q.36_71_15_16-9,27,,,
q.36_7_188_188-17,27,,,
q.36_8_65_66-13,27,,,
q.36_9_41_41-6,27,,,
q.36_9_74_74-19,27,,,
q.36_11_123_123-11,26,,,
q.36_11_123_123-15,26,,,
q.36_11_62_62-6,26,,,
q.36_11_88_88-10,26,,,
q.36_14_1_1-9,26,,,
q.36_16_7_7-10,26,,,
q.36_17_62_62-3,26,,,
q.36_18_63_63-10,26,,,
q.36_20_122_122-11,26,,,
q.36_2_219_220-17,26,,,
q.36_2_262_262-15,26,,,
q.36_2_44_44-9,26,,,
q.36_26_89_89-3,26,,,
q.36_27_43_43-3,26,,,
q.36_28_70_70-16,26,,,
q.36_29_48_49-10,26,,,
q.36_3_163_163-8,26,,,
q.36_3_168_168-11,26,,,
q.36_3_175_175-11,26,,,
q.36_3_178_178-14,26,,,
q.36_33_40_40-29,26,,,
q.36_33_52_52-14,26,,,
q.36_35_1_1-11,26,,,
